id,gender,seniorCitizen,partner,dependents,tenure,phoneService,multipleLines,internetService,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,contract,paperlessBilling,paymentMethod,monthlyCharges,totalCharges,churn,date
2655,Male,False,True,False,1,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,90.75,90.75,True,2025-01-15
2656,Female,False,False,True,4,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,False,Mailed check,89.6,365.65,True,2024-11-18
2657,Female,False,False,False,39,True,No,DSL,No,No,No,Yes,No,Yes,One year,False,Electronic check,59.3,2209.15,False,2025-01-24
2658,Female,False,False,False,29,True,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,True,Electronic check,66.1,1912.15,False,2025-04-23
2659,Female,False,True,True,14,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,18.8,255.55,False,2024-07-17
2660,Female,False,False,False,61,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),86.45,5175.3,False,2024-08-26
2661,Male,False,False,True,13,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Credit card (automatic),52.1,670.65,False,2024-07-29
2662,Female,False,False,False,66,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,True,Mailed check,47.4,3177.25,False,2024-08-26
2663,Male,False,False,False,2,False,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,49.25,90.35,True,2025-02-26
2664,Female,False,True,False,59,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,True,Credit card (automatic),109.15,6557.75,False,2024-06-02
2665,Male,False,True,True,62,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,True,Credit card (automatic),94.95,5791.85,False,2025-02-17
2666,Male,True,True,False,33,True,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,True,Electronic check,93.55,3055.5,False,2024-10-24
2667,Male,False,False,True,66,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),79.5,5196.1,False,2024-08-31
2668,Female,False,False,False,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),115.05,8405.0,False,2024-07-26
2669,Male,False,False,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.75,19.75,True,2025-01-21
2670,Female,False,False,False,19,True,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,95.15,1789.25,True,2025-01-15
2671,Female,False,True,True,51,True,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,True,Mailed check,95.15,5000.05,False,2025-04-13
2672,Male,False,False,False,63,True,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,False,Electronic check,105.4,6713.2,False,2024-10-14
2673,Male,False,False,False,27,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),20.1,562.6,False,2025-04-03
2674,Male,False,False,False,22,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),101.35,2317.1,True,2024-06-28
2675,Female,True,False,False,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.05,91.45,False,2024-10-26
2676,Male,False,True,True,42,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.7,828.85,False,2024-08-10
2677,Female,False,False,False,29,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.35,617.35,False,2025-03-27
2678,Female,False,False,False,4,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Credit card (automatic),70.05,266.9,True,2025-04-27
2679,Male,False,False,False,30,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,19.7,625.05,False,2024-06-17
2680,Male,False,True,False,4,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.65,301.4,True,2024-05-23
2681,Male,False,True,True,71,True,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),85.45,6029.9,False,2024-06-19
2682,Male,False,True,False,46,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,False,Credit card (automatic),40.4,1842.7,False,2025-03-04
2683,Male,False,False,False,4,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,50.4,206.6,True,2024-08-01
2684,Female,False,False,False,7,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,79.65,604.7,True,2024-12-15
2685,Male,False,False,False,69,True,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,True,Bank transfer (automatic),105.2,7386.05,False,2025-02-09
2686,Female,False,True,False,72,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,False,Bank transfer (automatic),100.65,7334.05,False,2024-07-19
2687,Male,True,False,False,19,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,79.85,1471.75,True,2025-02-25
2688,Male,False,False,False,28,True,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,False,Electronic check,91.0,2626.15,False,2024-10-04
2689,Male,False,True,False,5,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,78.75,412.1,True,2024-06-14
2690,Female,True,True,False,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),116.75,8277.05,False,2024-11-17
2691,Male,True,True,True,8,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Credit card (automatic),80.45,583.45,True,2024-09-09
2692,Female,False,False,False,7,True,No,DSL,Yes,No,No,No,No,Yes,One year,True,Electronic check,59.1,369.25,False,2024-06-24
2693,Female,False,False,False,22,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,49.8,1049.05,False,2024-09-24
2694,Male,False,False,False,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.3,1414.8,False,2024-09-05
2695,Male,False,True,True,8,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),19.65,169.75,False,2025-03-26
2696,Male,False,True,False,52,True,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,True,Credit card (automatic),81.4,4354.45,False,2025-04-26
2697,Female,False,False,False,68,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,False,Mailed check,38.9,2719.2,False,2024-08-12
2698,Female,False,True,False,71,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),87.95,6365.35,False,2025-03-23
2699,Male,False,False,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,51.6,False,2024-12-30
2700,Female,True,False,False,34,True,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,96.35,3190.25,False,2024-05-29
2701,Female,False,False,False,35,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,24.15,812.5,False,2025-03-14
2702,Female,False,True,True,61,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),19.1,1143.8,False,2024-09-08
2703,Male,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,44.0,44.0,False,2025-03-21
2704,Female,False,False,False,1,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,50.1,50.1,True,2024-11-21
2705,Female,False,True,True,53,True,No,DSL,No,No,Yes,No,No,Yes,One year,False,Credit card (automatic),60.6,3297.0,False,2024-09-21
2706,Female,False,True,False,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),25.65,1887.0,False,2025-01-31
2707,Male,False,True,False,2,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,False,Electronic check,76.4,151.8,True,2025-05-02
2708,Male,False,False,False,3,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,98.7,293.65,True,2024-08-27
2709,Female,True,False,False,13,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.8,1308.1,True,2024-12-02
2710,Male,True,True,False,41,False,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,53.95,2215.4,False,2024-11-07
2711,Female,False,True,False,24,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),20.4,482.8,False,2024-09-04
2712,Female,False,True,True,28,True,No,Fiber optic,No,No,No,No,Yes,Yes,One year,True,Bank transfer (automatic),90.1,2598.95,True,2024-06-03
2713,Male,False,False,False,8,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,29.35,216.45,False,2024-09-12
2714,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,20.45,20.45,False,2024-09-01
2715,Female,False,False,False,54,True,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),95.1,5064.85,False,2024-11-26
2716,Male,False,False,False,41,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),25.25,996.45,False,2025-04-19
2717,Female,False,True,False,19,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,44.9,839.65,False,2024-12-24
2718,Female,False,True,True,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),92.65,6733.0,False,2024-12-08
2719,Male,False,False,False,62,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,True,Bank transfer (automatic),43.7,2618.3,False,2024-11-10
2720,Female,True,True,True,56,True,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,True,Credit card (automatic),72.6,4084.35,False,2025-03-28
2721,Male,False,False,False,15,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,51.55,765.5,True,2024-09-27
2722,Male,True,False,False,10,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,79.25,793.55,True,2024-08-22
2723,Male,False,True,True,32,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,18.95,613.95,False,2025-04-06
2724,Male,False,False,False,21,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),20.5,402.85,False,2024-12-19
2725,Male,False,True,True,62,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.95,1244.8,False,2024-09-12
2726,Female,False,False,False,2,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,24.5,46.4,False,2025-03-30
2727,Male,False,False,True,27,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.6,581.85,False,2025-01-09
2728,Male,False,False,False,5,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),94.85,462.8,True,2024-06-02
2729,Female,False,False,False,25,False,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,False,Electronic check,61.05,1540.2,False,2025-03-23
2730,Female,False,False,False,2,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.7,169.8,True,2024-05-02
2731,Male,False,False,False,49,True,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,True,Bank transfer (automatic),106.65,5168.1,False,2024-11-06
2732,Female,False,False,False,63,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,False,Credit card (automatic),108.25,6780.1,False,2024-05-08
2733,Female,False,False,True,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),20.4,94.5,False,2025-03-14
2734,Female,False,True,False,1,True,No,DSL,No,No,No,No,Yes,No,Month-to-month,True,Mailed check,55.3,55.3,False,2024-06-16
2735,Male,False,False,False,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.25,208.0,False,2024-12-17
2736,Male,True,False,False,52,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),72.95,3829.75,False,2024-08-07
2737,Female,True,True,False,60,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,False,Electronic check,89.45,5294.6,False,2024-09-12
2738,Male,False,False,False,64,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,True,Credit card (automatic),104.65,6889.8,False,2025-02-03
2739,Female,False,True,True,43,True,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,False,Bank transfer (automatic),75.2,3254.35,False,2025-01-09
2740,Female,False,True,False,61,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,False,Bank transfer (automatic),101.15,6383.9,False,2024-12-01
2741,Female,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,44.4,44.4,True,2025-02-11
2742,Male,True,False,False,5,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,89.5,477.7,True,2024-12-04
2743,Male,False,False,False,66,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,False,Bank transfer (automatic),68.75,4447.55,False,2024-11-07
2744,Male,False,True,False,67,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,111.05,7321.05,False,2024-07-15
2745,Female,False,True,False,42,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),99.0,4135.0,False,2024-05-26
2746,Male,True,True,False,1,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,86.05,86.05,True,2024-11-23
2747,Female,False,True,True,31,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,21.0,697.7,False,2024-05-22
2748,Male,False,False,False,7,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.4,168.65,False,2024-09-06
2749,Male,False,False,False,4,False,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,44.55,174.3,True,2024-10-15
2750,Male,False,True,True,34,True,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,False,Bank transfer (automatic),77.2,2753.8,False,2024-10-19
2751,Male,False,False,False,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Mailed check,19.45,69.25,False,2025-01-22
2752,Female,False,True,True,19,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,24.85,434.8,False,2024-07-05
2753,Male,False,True,True,31,False,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,False,Bank transfer (automatic),35.4,1077.5,True,2025-04-21
2754,Female,False,False,False,1,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Mailed check,95.65,95.65,True,2025-04-05
2755,Male,False,False,False,3,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,False,Mailed check,41.35,107.25,False,2025-04-26
2756,Male,False,True,False,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,19.6,851.2,False,2024-10-18
2757,Female,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.95,20.95,True,2024-06-30
2758,Female,False,True,True,69,True,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,False,Bank transfer (automatic),84.45,5848.6,False,2024-09-13
2759,Male,False,False,False,5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.25,109.8,False,2025-03-25
2760,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.65,19.65,False,2025-01-24
2761,Male,False,False,False,26,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Credit card (automatic),20.65,595.5,False,2024-10-11
2762,Female,True,False,False,10,False,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,34.7,329.8,True,2025-01-16
2763,Male,False,False,False,25,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),99.3,2513.5,False,2024-08-11
2764,Male,False,True,True,64,True,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,False,Electronic check,81.05,5135.35,False,2024-09-12
2765,Male,False,True,True,30,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,False,Electronic check,67.6,2000.2,False,2024-06-20
2766,Male,False,False,False,13,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.15,931.75,False,2024-05-31
2767,Female,False,True,False,64,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,115.0,7396.15,False,2024-06-23
2768,Female,False,False,True,46,True,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,True,Bank transfer (automatic),84.8,3958.85,False,2024-10-19
2769,Female,False,False,False,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,19.7,260.9,False,2024-09-13
2770,Female,False,False,False,15,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.75,297.3,True,2024-06-29
2771,Male,False,True,True,17,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,92.55,1515.1,True,2024-07-27
2772,Female,False,True,True,13,True,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,True,Mailed check,63.15,816.8,False,2024-05-03
2773,Female,False,True,True,67,True,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,False,Credit card (automatic),74.0,4868.4,False,2024-12-09
2774,Male,False,True,False,24,False,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,False,Electronic check,29.1,688.0,False,2024-06-19
2775,Male,False,False,False,6,True,No,DSL,No,No,No,Yes,No,No,Month-to-month,False,Mailed check,50.05,288.35,False,2024-06-28
2776,Male,True,True,False,53,True,Yes,DSL,Yes,No,No,Yes,No,No,One year,True,Electronic check,60.05,3229.65,True,2025-01-03
