id,gender,seniorCitizen,partner,dependents,tenure,phoneService,multipleLines,internetService,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,contract,paperlessBilling,paymentMethod,monthlyCharges,totalCharges,churn,date
35,Male,True,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False,2024-12-18
36,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,False,Bank transfer (automatic),99.9,7251.7,False,2024-12-06
37,Male,False,False,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.7,316.9,True,2024-05-29
38,Female,False,False,False,46,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Credit card (automatic),74.8,3548.3,False,2024-10-31
39,Male,False,False,False,34,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,106.35,3549.25,True,2024-10-01
40,Female,False,False,False,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),97.85,1105.4,True,2024-08-05
41,Male,False,True,True,10,True,No,DSL,No,Yes,No,No,No,No,One year,False,Mailed check,49.55,475.7,False,2024-05-18
42,Female,False,True,True,70,True,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,True,Credit card (automatic),69.2,4872.35,False,2024-12-29
43,Female,False,True,True,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.75,418.25,False,2024-09-09
44,Female,False,False,False,63,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,True,Credit card (automatic),79.85,4861.45,False,2024-05-06
45,Female,False,True,False,13,True,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,76.2,981.45,False,2024-06-01
46,Female,False,False,False,49,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,84.5,3906.7,False,2024-10-31
47,Male,False,False,False,2,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,False,Mailed check,49.25,97.0,False,2024-07-15
48,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.65,144.15,True,2024-11-16
49,Male,False,False,False,52,True,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,True,Credit card (automatic),79.75,4217.8,False,2024-10-23
50,Female,False,True,True,69,True,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,True,Credit card (automatic),64.15,4254.1,False,2024-06-29
51,Female,True,False,False,43,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,90.25,3838.75,False,2024-10-06
52,Female,False,False,False,15,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.1,1426.4,True,2025-01-18
53,Female,True,True,False,25,True,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,True,Credit card (automatic),69.5,1752.65,False,2025-01-20
54,Female,True,True,False,8,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),80.65,633.3,True,2025-02-05
55,Female,True,True,True,60,True,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,True,Credit card (automatic),74.85,4456.35,False,2024-10-03
56,Male,True,False,False,18,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.45,1752.55,True,2024-11-08
57,Female,False,True,True,63,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,True,Credit card (automatic),99.65,6311.2,False,2024-08-16
58,Male,True,True,True,66,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,108.45,7076.35,False,2024-07-26
59,Female,False,True,True,34,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.95,894.3,False,2024-05-18
60,Female,False,False,False,72,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),107.5,7853.7,False,2025-01-17
61,Female,False,True,False,47,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,100.5,4707.1,False,2024-09-26
62,Male,False,False,False,60,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),89.9,5450.7,False,2024-11-07
63,Male,False,True,False,72,False,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,False,Bank transfer (automatic),42.1,2962.0,False,2024-10-27
64,Female,False,True,True,18,True,No,DSL,No,No,Yes,Yes,No,No,One year,True,Credit card (automatic),54.4,957.1,False,2024-11-11
65,Female,False,False,False,9,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,94.4,857.25,True,2025-01-09
66,Female,False,False,False,3,True,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,75.3,244.1,False,2025-01-01
67,Male,False,True,False,47,True,Yes,Fiber optic,No,Yes,No,No,No,No,One year,True,Electronic check,78.9,3650.35,False,2024-10-18
68,Female,False,False,False,31,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,79.2,2497.2,False,2024-09-10
69,Female,False,True,True,50,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.15,930.9,False,2024-07-29
70,Male,False,False,False,10,True,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,True,Mailed check,79.85,887.35,False,2024-09-25
71,Male,False,False,False,1,True,No,DSL,No,No,No,Yes,No,No,Month-to-month,False,Mailed check,49.05,49.05,False,2024-12-08
72,Female,False,True,True,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Electronic check,20.4,1090.65,False,2025-03-07
73,Male,True,True,True,64,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),111.6,7099.0,False,2025-01-27
74,Male,False,True,True,62,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),24.25,1424.6,False,2025-04-10
75,Female,False,False,True,3,True,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),64.5,177.4,False,2025-02-04
76,Female,True,False,False,56,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,False,Electronic check,110.5,6139.5,False,2024-12-19
77,Female,False,False,False,46,True,No,DSL,No,No,No,No,No,Yes,One year,False,Credit card (automatic),55.65,2688.85,False,2024-08-20
78,Female,False,True,True,8,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,False,Mailed check,54.65,482.25,False,2025-01-18
79,Male,True,False,False,30,True,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,74.75,2111.3,False,2025-01-30
80,Female,False,True,True,45,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Credit card (automatic),25.9,1216.6,False,2024-12-28
81,Female,False,False,True,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,79.35,79.35,True,2025-04-30
82,Female,False,True,True,11,False,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,50.55,565.35,False,2024-11-01
83,Female,False,True,False,7,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),75.15,496.9,True,2025-01-13
84,Female,False,False,False,42,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Bank transfer (automatic),103.8,4327.5,False,2025-01-19
85,Female,False,True,False,49,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),20.15,973.35,False,2024-05-15
86,Male,False,False,False,9,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.3,918.75,False,2025-03-05
87,Female,False,True,False,35,True,No,DSL,Yes,No,No,No,Yes,No,One year,True,Bank transfer (automatic),62.15,2215.45,False,2025-01-04
88,Female,False,True,True,48,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.65,1057.0,False,2024-06-04
89,Female,False,True,True,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.95,927.1,False,2025-01-26
90,Male,False,True,False,29,False,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,False,Mailed check,33.75,1009.25,False,2024-08-18
91,Male,False,True,True,30,True,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,False,Bank transfer (automatic),82.05,2570.2,False,2025-02-21
92,Male,True,False,False,1,True,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,False,Electronic check,74.7,74.7,False,2024-06-10
93,Male,False,True,True,66,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Mailed check,84.0,5714.25,False,2024-08-26
94,Female,False,False,False,65,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),111.05,7107.0,False,2024-05-31
95,Male,False,False,False,72,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,True,Bank transfer (automatic),100.9,7459.05,False,2024-07-25
96,Female,False,False,False,12,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,78.95,927.35,True,2024-11-28
97,Male,False,True,True,71,True,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,True,Credit card (automatic),66.85,4748.7,False,2024-12-08
98,Male,False,False,False,5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,21.05,113.85,True,2024-08-13
99,Male,False,False,False,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),21.0,1107.2,False,2025-04-11
100,Female,True,True,False,25,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.5,2514.5,True,2024-11-29
101,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.2,20.2,False,2024-09-24
102,Female,False,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,19.45,19.45,False,2024-08-01
103,Male,False,False,False,38,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,False,Bank transfer (automatic),95.0,3605.6,False,2024-09-26
104,Female,True,True,False,66,False,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,False,Bank transfer (automatic),45.55,3027.25,False,2024-06-10
105,Male,False,True,False,68,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),110.0,7611.85,True,2024-07-07
106,Male,False,False,False,5,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,24.3,100.2,False,2024-06-01
107,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,True,Electronic check,104.15,7303.05,False,2024-10-05
108,Female,False,False,False,32,False,No phone service,DSL,Yes,No,No,No,No,No,One year,False,Mailed check,30.15,927.65,False,2024-06-10
109,Male,False,False,False,43,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,False,Mailed check,94.35,3921.3,False,2024-09-14
110,Male,False,True,True,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.4,1363.25,False,2024-12-05
111,Male,False,True,False,55,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,96.75,5238.9,True,2025-04-21
112,Female,False,False,False,52,True,No,DSL,Yes,No,Yes,Yes,No,No,One year,False,Credit card (automatic),57.95,3042.25,False,2024-08-04
113,Female,False,False,False,43,True,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,91.65,3954.1,False,2024-05-18
114,Female,True,True,False,37,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,76.5,2868.15,True,2024-07-21
115,Female,False,True,True,64,False,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,True,Electronic check,54.6,3423.5,False,2024-10-16
116,Male,False,True,True,3,True,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,89.85,248.4,False,2024-06-13
117,Female,False,False,False,36,False,No phone service,DSL,Yes,No,No,No,No,No,Two year,False,Bank transfer (automatic),31.05,1126.35,False,2024-08-23
118,Female,False,True,True,10,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.25,1064.65,True,2024-06-28
119,Female,False,False,False,41,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.65,835.15,False,2024-11-23
120,Male,False,True,True,27,True,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,True,Credit card (automatic),85.2,2151.6,False,2024-07-20
121,Female,False,True,True,56,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Credit card (automatic),99.8,5515.45,False,2024-10-30
122,Female,False,False,False,6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.7,112.75,False,2025-04-23
123,Male,False,False,False,3,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.4,229.55,True,2024-09-09
124,Female,False,True,True,7,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,50.7,350.35,False,2025-03-15
125,Female,False,True,True,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.85,62.9,False,2025-02-16
126,Male,False,False,False,33,True,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,True,Electronic check,88.95,3027.65,False,2024-07-19
127,Female,True,False,False,27,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,78.05,2135.5,True,2025-02-26
128,Male,False,True,False,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),23.55,1723.95,False,2024-09-26
129,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.75,19.75,False,2024-10-31
130,Male,True,False,False,71,False,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,True,Electronic check,56.45,3985.35,False,2025-03-28
131,Female,False,False,False,13,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.95,1215.65,False,2024-05-27
132,Female,False,True,True,25,False,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),58.6,1502.65,True,2024-12-24
133,Male,False,False,False,67,True,No,DSL,No,No,No,Yes,No,No,Two year,False,Bank transfer (automatic),50.55,3260.1,False,2024-08-20
134,Male,False,False,False,1,False,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,35.45,35.45,True,2025-02-07
135,Male,False,False,False,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,44.35,81.25,True,2024-06-15
136,Female,False,False,False,43,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),25.7,1188.2,False,2024-11-07
137,Female,False,False,False,23,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),75.0,1778.5,False,2024-09-21
138,Female,False,True,True,64,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.2,1277.75,False,2025-01-25
139,Male,False,False,True,57,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.6,1170.55,False,2024-05-24
140,Female,True,True,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,70.45,70.45,True,2024-05-14
141,Female,True,True,True,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),88.05,6425.65,False,2024-10-11
142,Female,False,False,False,8,True,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,False,Electronic check,71.15,563.65,True,2024-10-20
143,Female,False,True,False,61,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,True,Bank transfer (automatic),101.05,5971.25,False,2025-04-27
144,Male,False,False,False,64,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,True,Credit card (automatic),84.3,5289.05,False,2024-08-19
145,Male,True,True,False,71,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),23.95,1756.2,False,2024-06-01
146,Female,False,True,True,65,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,True,Credit card (automatic),99.05,6416.7,False,2024-07-21
147,Male,False,False,False,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,19.6,61.35,False,2024-09-27
148,Male,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.65,45.65,True,2025-05-01
149,Male,False,False,True,30,True,No,DSL,No,Yes,Yes,No,Yes,No,One year,False,Credit card (automatic),64.5,1929.95,False,2025-01-18
150,Male,False,True,True,15,True,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,True,Mailed check,69.5,1071.4,False,2024-07-07
151,Female,False,True,True,8,True,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,68.55,564.35,False,2025-02-05
152,Male,False,False,False,7,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Mailed check,95.0,655.5,True,2024-12-04
153,Female,False,True,True,70,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,True,Credit card (automatic),108.15,7930.55,False,2025-02-23
154,Male,False,True,True,62,True,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Electronic check,86.1,5215.25,False,2024-06-09
155,Female,False,True,True,6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.7,113.5,False,2024-09-16
156,Female,False,True,True,14,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Bank transfer (automatic),80.9,1152.8,False,2025-01-30
157,Female,False,False,False,22,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),84.15,1821.95,False,2024-12-08
158,Male,False,True,True,22,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.15,419.9,False,2024-06-10
159,Male,False,True,True,16,True,No,DSL,Yes,No,Yes,No,Yes,No,Two year,False,Mailed check,64.25,1024.0,False,2024-09-18
160,Male,False,False,False,10,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),25.7,251.6,False,2025-03-25
161,Female,False,False,True,13,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Electronic check,56.0,764.55,False,2024-06-24
162,Female,False,True,False,20,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,False,Electronic check,82.4,1592.35,True,2024-08-06
163,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.7,135.2,False,2025-04-11
164,Male,False,False,False,53,True,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),73.9,3958.25,False,2024-11-19
165,Female,False,True,True,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.6,233.9,False,2024-08-12
166,Male,False,True,False,69,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.9,1363.45,False,2025-04-25
167,Female,False,False,False,4,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),70.9,273.0,True,2024-09-27
168,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),89.05,6254.45,False,2025-01-06
169,Male,True,True,False,58,False,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,45.3,2651.2,True,2024-06-22
170,Female,False,True,True,16,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,20.4,321.4,False,2024-09-02
171,Male,False,True,False,43,True,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,True,Bank transfer (automatic),84.25,3539.25,False,2024-07-01
172,Female,False,True,False,2,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.4,242.8,True,2025-04-23
173,Male,False,True,False,14,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,81.95,1181.75,False,2024-09-09
174,Female,False,True,False,53,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),94.85,5000.2,True,2024-07-13
175,Female,False,False,False,32,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),20.55,654.55,False,2024-10-13
176,Female,False,True,False,34,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,24.7,780.2,False,2024-08-07
177,Female,True,False,False,15,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,74.45,1145.7,True,2025-03-02
178,Female,True,False,False,7,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),76.45,503.6,True,2024-12-06
179,Female,False,True,True,15,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),105.35,1559.25,False,2024-08-23
180,Male,False,True,False,61,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Credit card (automatic),20.55,1252.0,False,2024-05-22
181,Female,False,False,False,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Bank transfer (automatic),29.95,29.95,True,2024-08-12
